116,K3nn3dY-HUN,2,3,1,1,1,1,1,3,0,4,5,44,22,34,Gyors
117,Ruszky88,1,2,1,3,2,1,2,3,0,4,5,40,30,40,Erőteljes
118,Szupi30,2,2,1,3,2,1,3,2,1,4,5,36,28,36,Gyors
119,haromszeki,0,3,0,1,1,2,1,2,0,5,1,20,25,55,gólt?
120,Triton_TL,1,3,1,2,1,1,1,3,1,2,1,30,30,40,kiszámíthatatlan
121,egeralf,2,1,1,2,1,2,1,3,0,5,5,35,28,37,Gyors
122,L_A_L_I,1,2,0,1,2,1,0,2,0,4,5,31,28,41,kiszámíthatatlan
123,Iteopepe,1,2,1,2,2,1,1,2,0,3,5,31,28,41,kiszámíthatatlan
124,Raver93,2,4,1,2,2,0,1,3,0,3,5,35,22,44,Gyors
125,S5ark,1,2,0,2,2,0,1,2,0,3,5,35,25,40,Gyors
126,Lacibalazs,1,2,1,0,2,2,2,3,1,0,4,27,33,40,KISZÁMÍTHATATLAN
127,0ptimista,2,1,2,1,2,1,1,2,0,3,5,41,25,34,gólt?
128,Lng14,2,3,1,2,2,1,1,2,0,3,5,25,30,45,Gyors
129,Litto,1,2,1,3,1,3,1,1,0,4,5,29,20,51,gólt?
130,Imu_4,0,2,0,3,1,2,1,3,0,3,5,27,23,50,Gyors
131,ycool,0,1,1,0,2,1,1,1,0,3,5,20,25,55,Erőteljes
132,magician603,1,2,0,2,1,3,1,3,0,3,5,40,20,40,P - erőteljes
133,nagyzoldogre,1,2,1,2,2,1,1,3,0,4,5,25,30,45,Kiszámíthatatlan
134,blyko,2,2,2,1,2,2,1,3,1,0,4,40,20,40,erőteljes
135,Cacci,2,0,0,2,1,0,2,1,0,4,[],51,23,26,Kiszámíthatatlan
Észtország,Magyarország,Puerto Rico,Venezuela,Feröer-Szigetek,Észak-Macedónia,Libanon,San Marino,Ruanda,Palesztina
